rowname;Adaptative Capacity;Sensitivity;Exposure
Kongoussi;0,626927899137084;0,388034632034632;0,445086956521739
Leo;0,385635120125521;0,152674783549784;0,226003623188406
Gaoua;0,635232518432872;0,311331709956710;0,295050724637681
